,Mean,STD,SEM
SVC,0.4791611479028698,0.028646566106900848,0.00640556691369718
CATBOOST,0.5465992506099686,0.006491648351495584,0.0014515766999968576
L2,0.49781930405483904,0.022260160793812225,0.004977523272503981
L1,0.49355199256419197,0.030307776014765968,0.006777024741585437
EN,0.49681494713605207,0.029524205540688242,0.006601813057065484
LightGBM,0.5373296444754271,0.007158919405363257,0.0016007830435834614
RF,0.5439852445683745,0.010414182834813521,0.0023286820748754495
